char,dialogue,episode
HAN,I think I can get him before he gets there... he's almost in range.,episode4
BEN,That's no moon!  It's a space station.,episode4
HAN,It's too big to be a space station.,episode4
LUKE,I have a very bad feeling about this.,episode4
BEN,Turn the ship around!,episode4
HAN,"Yeah, I think your right.  Full reverse!  Chewie, lock in the auxiliary power.",episode4
LUKE,Why are we still moving towards it?,episode4
HAN,We're caught in a tractor beam!  It's pulling us in!,episode4
LUKE,But there's gotta be something you can do!,episode4
HAN,"There's nothin' I can do about it, kid.  I'm in full power.  I'm going to have to shut down.  But they're not going to get me without a fight!",episode4
BEN,You can't win.  But there are alternatives to fighting.,episode4
VOICE OVER DEATH STAR INTERCOM,Clear Bay twenty-three-seven.  We are opening the magnetic field.,episode4
OFFICER,To your stations!,episode4
OFFICER,Come with me.,episode4
OFFICER,Close all outboard shields!  Close all outboard shields!,episode4
TARKIN,Yes.,episode4
VOICE,We've captured a freighter entering the remains of the Alderaan system.  It's markings match those of a ship that blasted its way out of Mos Eisley.,episode4
VADER,They must be trying to return the stolen plans to the princess.  She may yet be of some use to us.,episode4
VOICE,Unlock one-five-seven and nine. Release charges.,episode4
OFFICER,"There's no one on board, sir.  According to the log, the crew abandoned ship right after takeoff.  It must be a decoy, sir.  Several of the escape pods have been jettisoned.",episode4
VADER,Did you find any droids?,episode4
OFFICER,"No, sir.  If there were any on board, they must also have jettisoned.",episode4
VADER,Send a scanning crew on board.  I want every part of this ship checked.,episode4
OFFICER,"Yes, sir.",episode4
VADER,I sense something... a presence I haven't felt since...,episode4
OFFICER,Get me a scanning crew in here on the double.  I want every part of this ship checked!,episode4
LUKE,"Boy, it's lucky you had these compartments.",episode4
HAN,"I use them for smuggling.  I never thought I'd be smuggling myself in them.  This is ridiculous.  Even if I could take off, I'd never get past the tractor beam.",episode4
BEN,Leave that to me!,episode4
HAN,Damn fool. I knew that you were going to say that!,episode4
BEN,Who's the more foolish... the fool or the fool who follows him?,episode4
TROOPER,"The ship's all yours.  If the scanners pick up anything, report it immediately.  All right, let's go.",episode4
HAN,"Hey down there, could you give us a hand with this?",episode4
GANTRY OFFICER,"TX-four-one-two.  Why aren't you at your post?  TX-four-one-two, do you copy? ",episode4
GANTRY OFFICER,Take over.  We've got a bad transmitter.  I'll see what I can do.,episode4
LUKE,"You know, between his howling and your blasting everything in sight, it's a wonder the whole station doesn't know we're here.",episode4
HAN,Bring them on!  I prefer a straight fight to all this sneaking around.,episode4
THREEPIO,"We found the computer outlet, sir.",episode4
BEN,Plug in.  He should be able to interpret the entire Imperial computer network.,episode4
THREEPIO,He says he's found the main control to the power beam that's holding the ship here.  He'll try to make the precise location appear on the monitor.,episode4
THREEPIO,The tractor beam is coupled to the main reactor in seven locations.  A power loss at one of the terminals will allow the ship to leave.,episode4
BEN,I don't think you boys can help.  I must go alone.,episode4
HAN,Whatever you say.  I've done more than I bargained for on this trip already.,episode4
LUKE,I want to go with you.,episode4
BEN,"Be patient, Luke.  Stay and watch over the droids.",episode4
LUKE,But he can...,episode4
BEN,They must be delivered safely or other star systems will suffer the same fate as Alderaan.  Your destiny lies along a different path from mine.  The Force will be with you... always!,episode4
HAN,"Boy you said it, Chewie.",episode4
HAN,Where did you dig up that old fossil?,episode4
LUKE,Ben is a great man.,episode4
HAN,"Yeah, great at getting us into trouble.",episode4
LUKE,I didn't hear you give any ideas...,episode4
HAN,"Well, anything would be better than just hanging around waiting for them to pick us up...",episode4
LUKE,Who do you think...,episode4
LUKE,What is it?,episode4
THREEPIO,"I'm afraid I'm not quite sure, sir. He says \",episode4
LUKE,"Well, who... who has he found?",episode4
THREEPIO,Princess Leia.,episode4
LUKE,The princess?  She's here?,episode4
HAN,Princess?,episode4
LUKE,Where... where is she?,episode4
HAN,Princess?  What's going on?,episode4
THREEPIO,Level five. Detention block AA-twenty-three.  I'm afraid she's scheduled to be terminated.,episode4
LUKE,"Oh, no!  We've got to do something.",episode4
HAN,What are you talking about?,episode4
LUKE,The droid belongs to her.  She's the one in the message.  We've got to help her.,episode4
HAN,"Now, look, don't get any funny ideas.  The old man wants us to wait right here.",episode4
LUKE,"But he didn't know she was here.  Look, will you just find a way back into the detention block?",episode4
HAN,I'm not going anywhere.,episode4
LUKE,"They're going to execute her.  Look, a few minutes ago you said you didn't want to just wait here to be captured.  Now all you want to do is stay. ",episode4
HAN,Marching into the detention area is not what I had in mind.,episode4
LUKE,But they're going to kill her!,episode4
HAN,Better her than me...,episode4
LUKE,She's rich.,episode4
HAN,Rich?,episode4
LUKE,"Yes.  Rich, powerful!  Listen, if you were to rescue her, the reward would be...",episode4
HAN,What?,episode4
LUKE,Well more wealth that you can imagine.,episode4
HAN,"I don't know, I can imagine quite a bit!",episode4
LUKE,You'll get it!,episode4
HAN,I better!,episode4
LUKE,You will...,episode4
HAN,"All right, kid.  But you'd better be right about this!",episode4
LUKE,All right.,episode4
HAN,What's your plan?,episode4
LUKE,"Uh... Threepio, hand me those binders there will you?",episode4
LUKE,"Okay.  Now, I'm going to put these on you.",episode4
LUKE,"Okay.  Han, you put these on.",episode4
HAN,"Don't worry, Chewie.  I think I know what he has in mind.",episode4
THREEPIO,"Master Luke, sir!  Pardon me for asking... but, ah... what should Artoo and I do if we're discovered here?",episode4
LUKE,Lock the door!,episode4
HAN,And hope they don't have blasters.,episode4
THREEPIO,That isn't very reassuring.,episode4
LUKE,I can't see a thing in this helmet.,episode4
HAN,This is not going to work.,episode4
LUKE,Why didn't you say so before?,episode4
HAN,I did say so before!,episode4
OFFICER,Where are you taking this... thing?,episode4
LUKE,Prisoner transfer from Block one-one-three-eight.,episode4
OFFICER,I wasn't notified.  I'll have to clear it.,episode4
HAN,Look out!  He's loose!,episode4
LUKE,He's going to pull us all apart.,episode4
HAN,Go get him!,episode4
HAN,We've got to find out which cell this princess of yours is in.  Here it is... cell twenty-one-eight-seven.  You go get her.  I'll hold them here.,episode4
HAN,Everything is under control.  Situation normal.,episode4
INTERCOM VOICE,What happened?,episode4
HAN,"Uh... had a slight weapons malfunction.  But, uh, everything's perfectly all right now.  We're fine.  We're all fine here, now, thank you.  How are you?",episode4
INTERCOM VOICE,We're sending a squad up.,episode4
HAN,"Uh, uh, negative, negative.  We had a reactor leak here now.  Give us a few minutes to lock it down.  Large leak... very dangerous.",episode4
INTERCOM VOICE,Who is this?  What's your operating number?,episode4
HAN,Boring conversation anyway.Luke!  We're going to have company!,episode4
LEIA,Aren't you a little short for a stormtrooper?,episode4
LUKE,What?  Oh... the uniform.  I'm Luke Skywalker.  I'm here to rescue you. ,episode4
LEIA,You're who?,episode4
LUKE,I'm here to rescue you.  I've got your R2 unit.  I'm here with Ben Kenobi.,episode4
LEIA,Ben Kenobi is here!  Where is he?,episode4
LUKE,Come on!,episode4
VADER,He is here...,episode4
TARKIN,Obi-Wan Kenobi!  What makes you think so?,episode4
VADER,A tremor in the Force.  The last time I felt it was in the presence of my old master.,episode4
TARKIN,Surely he must be dead by now.,episode4
VADER,Don't underestimate the Force.,episode4
TARKIN,"The Jedi are extinct, their fire has gone out of the universe.  You, my friend, are all that's left of their religion.",episode4
TARKIN,Yes.,episode4
INTERCOM VOICE,"Governor Tarkin, we have an emergency alert in detention block AA-twenty-three.",episode4
TARKIN,The princess!  Put all sections on alert!,episode4
VADER,Obi-Wan is here.  The Force is with him.,episode4
TARKIN,"If you're right, he must not be allowed to escape.",episode4
VADER,Escape may not his plan.  I must face him alone.,episode4
HAN,Chewie!,episode4
HAN,Get behind me!  Get behind me!,episode4
HAN,Can't get out that way.,episode4
LEIA,Looks like you managed to cut off our only escape route.,episode4
HAN,"Maybe you'd like it back in your cell, Your Highness.",episode4
LUKE,See-Threepio!  See-Threepio!,episode4
THREEPIO,Yes sir?,episode4
LUKE,We've been cut off!  Are there any other ways out of the cell bay?...What was that?  I didn't copy!,episode4
THREEPIO,"I said, all systems have been alerted to your presence, sir.  The main entrance seems to be the only way out; all other information on your level is restricted.",episode4
TROOPER VOICE,Open up in there!,episode4
THREEPIO,"Oh, no!",episode4
LUKE,There isn't any other way out.,episode4
HAN,I can't hold them off forever!  Now what?,episode4
LEIA,"This is some rescue.  When you came in here, didn't you have a plan for getting out?",episode4
HAN,"He's the brains, sweetheart.",episode4
LUKE,"Well, I didn't...",episode4
HAN,What the hell are you doing?,episode4
LEIA,"Somebody has to save our skins.  Into the garbage chute, wise guy.",episode4
HAN,Get in there you big furry oaf!  I don't care what you smell!  Get in there and don't worry about it.,episode4
HAN,Wonderful girl!  Either I'm going to kill her or I'm beginning to like her.  Get in there!,episode4
HAN,Oh!  The garbage chute was a really wonderful idea.  What an incredible smell you've discovered!  Let's get out of here!  Get away from there...,episode4
LUKE,No!  wait!,episode4
LUKE,Will you forget it?  I already tried it.  It's magnetically sealed!,episode4
LEIA,Put that thing away!  You're going to get us all killed.,episode4
HAN,"Absolutely, Your Worship.  Look, I had everything under control until you led us down here.  You know, it's not going to take them long to figure out what happened to us.",episode4
LEIA,It could be worse...,episode4
HAN,It's worse.,episode4
LUKE,There's something alive in here!,episode4
HAN,That's your imagination.,episode4
LUKE,Something just moves past my leg!  Look!  Did you see that?,episode4
HAN,What?,episode4
LUKE,Help!,episode4
HAN,Luke!  Luke!  Luke!,episode4
LEIA,Luke!,episode4
LEIA,"Luke, Luke, grab a hold of this.",episode4
LUKE,"Blast it, will you!  My gun's jammed.",episode4
HAN,Where?,episode4
LUKE,Anywhere!  Oh!!,episode4
HAN,Luke!  Luke!,episode4
LEIA,Grab him!,episode4
LEIA,What happened?,episode4
LUKE,"I don't know, it just let go of me and disappeared...",episode4
HAN,I've got a very bad feeling about this.,episode4
LUKE,The walls are moving!,episode4
LEIA,Don't just stand there.  Try and brace it with something.,episode4
LUKE,Wait a minute!,episode4
LUKE,Threepio!  Come in Threepio!  Threepio!  Where could he be?,episode4
FIRST TROOPER,Take over!See to him!  Look there!,episode4
THREEPIO,"They're madmen!  They're heading for the prison level.  If you hurry, you might catch them.",episode4
FIRST OFFICER,Follow me!  You stand guard.,episode4
THREEPIO,Come on!,episode4
THREEPIO,"Oh!  All this excitement has overrun the circuits of my counterpart here.  If you don't mind, I'd like to take him down to maintenance.",episode4
TROOPER,All right.,episode4
LUKE,"Threepio!  Come in, Threepio!  Threepio!",episode4
HAN,Get to the top!,episode4
LEIA,I can't ,episode4
LUKE,"Where could he be?  Threepio!  Threepio, will you come in?",episode4
THREEPIO,They aren't here!  Something must have happened to them.  See if they've been captured.,episode4
THREEPIO,Hurry!,episode4
HAN,One thing's for sure.  We're all going to be a lot thinner!Get on top of it!,episode4
LEIA,I'm trying!,episode4
THREEPIO,"Thank goodness, they haven't found them!  Where could they be?",episode4
THREEPIO,"Use the comlink?  Oh, my!  I forgot I turned it off!",episode4
THREEPIO,"Are you there, sir?",episode4
LUKE,Threepio!,episode4
THREEPIO,We've had some problems...,episode4
LUKE,"Shut down all the garbage mashers on the detention level, will you?  Do you copy?",episode4
LUKE,Shut down all the garbage mashers on the detention level.,episode4
LUKE,Shut down all the garbage mashers on the detention level.,episode4
THREEPIO,No.  Shut them all down!  Hurry!,episode4
THREEPIO,"Listen to them!  They're dying, Artoo!  Curse my metal body!  I wasn't fast enough.  It's all my fault!  My poor master!",episode4
LUKE,"Threepio, we're all right!",episode4
LUKE,We're all right.  You did great.,episode4
LUKE,"Hey... hey, open the pressure maintenance hatch on unit number... where are we?",episode4
HAN,Three-two-six-eight-two-seven.,episode4
HAN,"If we can just avoid any more female advice, we ought to be able to get out of here.",episode4
LUKE,"Well, let's get moving!",episode4
HAN,Where are you going?,episode4
LEIA,"No, wait.  They'll hear!",episode4
HAN,"Come here, you big coward!",episode4
HAN,Chewie!  Come here!,episode4
LEIA,"Listen. I don't know who you are, or where you came from, but from now on, you do as I tell you.  Okay?",episode4
HAN,"Look, Your Worshipfulness, let's get one thing straight!  I takeorders from one person!  Me!",episode4
LEIA,It's a wonder you're still alive.Will somebody get this big walking carpet out of my way?,episode4
HAN,No reward is worth this.,episode4
OFFICER,Secure this area until the alert is canceled.,episode4
FIRST TROOPER,Give me regular reports.,episode4
FIRST TROOPER,Do you know what's going on?,episode4
SECOND TROOPER,Maybe it's another drill.,episode4
SECOND TROOPER,What was that?,episode4
FIRST TROOPER,"Oh, it's nothing.  Don't worry about it.",episode4
HAN,There she is.,episode4
LUKE,"See-Threepio, do you copy?",episode4
THREEPIO,"For the moment.  Uh, we're in the main hangar across from the ship.",episode4
LUKE,We're right above you.  Stand by.,episode4
LEIA,You came in that thing?  You're braver that I thought.,episode4
HAN,Nice!  Come on!,episode4
FIRST TROOPER,It's them!  Blast them!,episode4
HAN,Get back to the ship!,episode4
LUKE,Where are you going?  Come back!,episode4
LEIA,He certainly has courage.,episode4
LUKE,What good will it do us if he gets himself killed?  Come on!,episode4
LUKE,I think we took a wrong turn.,episode4
LEIA,There's no lock!,episode4
LUKE,That oughta hold it for a while.,episode4
LEIA,"Quick, we've got to get across.  Find the control that extends the bridge.",episode4
LUKE,"Oh, I think I just blasted it.",episode4
LEIA,They're coming through!,episode4
LUKE,"Here, hold this.",episode4
LEIA,Here they come!,episode4
LEIA,For luck!,episode4
THREEPIO,Where could they be?,episode4
TROOPER,Close the blast doors!,episode4
TROOPER,Open the blast doors!  Open the blast doors!,episode4
VADER,"I've been waiting for you, Obi-Wan.  We meet again, at last.  The circle is now complete.",episode4
VADER,"When I left you, I was but the learner; now I am the master.",episode4
BEN,"Only a master of evil, Darth.",episode4
VADER,"Your powers are weak, old man.",episode4
BEN,"You can't win, Darth.  If you strike me down, I shall become more powerful than you can possibly imagine.",episode4
HAN,Didn't we just leave this party?,episode4
HAN,What kept you?,episode4
LEIA,We ran into some old friends.,episode4
LUKE,Is the ship all right?,episode4
HAN,"Seems okay, if we can get to it.Just hope the old man got the tractor beam out of commission.",episode4
LUKE,Look!,episode4
THREEPIO,"Come on, Artoo, we're going!",episode4
HAN,Now's our chance!  Go!,episode4
LUKE,No!,episode4
HAN,Come on!,episode4
LEIA,"Come on!  Luke, its too late!",episode4
HAN,Blast the door!  Kid!,episode4
BEN,"Run, Luke!  Run!",episode4
HAN,"I hope the old man got that tractor beam out if commission, or this is going to be a real short trip.  Okay, hit it!",episode4
HAN,We're coming up on the sentry ships.  Hold 'em off!  Angle the deflector shields while I charge up the main guns!,episode4
LUKE,I can't believe he's gone.,episode4
LEIA,There wasn't anything you could have done.,episode4
HAN,"Come on, buddy, we're not out of this yet!",episode4
HAN,"You in, kid?  Okay, stay sharp!",episode4
LEIA,Here they come!,episode4
LUKE,They're coming in too fast!,episode4
THREEPIO,Oooh!,episode4
LEIA,We've lost lateral controls.,episode4
HAN,"Don't worry, she'll hold together.",episode4
HAN,"You hear me, baby?  Hold together!",episode4
LUKE,Got him!  I got him!,episode4
HAN,Great kid!  Don't get cocky.,episode4
LEIA,There are still two more of them out there!,episode4
LUKE,That's it!  We did it!,episode4
LEIA,We did it!,episode4
THREEPIO,Help!  I think I'm melting!This is all your fault.,episode4
TARKIN,Are they away?,episode4
VADER,They have just made the jump into hyperspace.,episode4
TARKIN,"You're sure the homing beacon is secure aboard their ship?  I'm taking an awful risk, Vader.  This had better work.",episode4
HAN,"Not a bad bit of rescuing, huh?  You know, sometimes I even amaze myself.",episode4
LEIA,"That doesn't sound too hard.  Besides, they let us go.  It's the only explanation for the ease of our escape.",episode4
HAN,Easy... you call that easy?,episode4
LEIA,Their tracking us!,episode4
HAN,"Not this ship, sister.",episode4
LEIA,At least the information in Artoo is still intact.,episode4
HAN,What's so important?  What's he carrying?,episode4
LEIA,"The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  It's not over yet!",episode4
HAN,"It is for me, sister!  Look, I ain't in this for your revolution, and I'm not in it for you, Princess.  I expect to be well paid.  I'm in it for the money!",episode4
LEIA,"You needn't worry about your reward.  If money is all that you love, then that's what you'll receive!",episode4
LEIA,Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone.,episode4
LUKE,I care!,episode4
LUKE,"So... what do you think of her, Han?",episode4
HAN,"I'm trying not to, kid!",episode4
LUKE,Good...,episode4
HAN,"Still, she's got a lot of spirit.  I don't know, what do you think?  Do you think a princess and a guy like me...",episode4
LUKE,No!,episode4
WILLARD,You're safe!  We had feared the worst.,episode4
WILLARD,"When we heard about Alderaan, we were afraid that you were... lost along with your father.",episode4
LEIA,"We don't have time for our sorrows, commander.  The battle station has surely tracked us here.It's the only explanation for the ease of our escape.  You must use the information in this R2 unit to plan the attack.  It is our only hope.",episode4
TARKIN,Yes.,episode4
DEATH STAR INTERCOM VOICE,We are approaching the planet Yavin.  The Rebel base is on a moon on the far side.  We are preparing to orbit the planet.,episode4
DODONNA,The battle station is heavily shielded and carries a firepower greater than half the star fleet.Its defenses are designed around a direct large-scale assault.  A small one-man fighter should be able to penetrate the outer defense.,episode4
GOLD LEADER,"Pardon me for asking, sir, but what good are snub fighters going to be against that?",episode4
DODONNA,"Well, the Empire doesn't consider a small one-man fighter to be any threat, or they'd have a tighter defense.  An analysis of the plans provided by Princess Leia has demonstrated a weakness in the battle station.",episode4
DODONNA,"The approach will not be easy.  You are required to maneuver straight down this trench and skim the surface to this point.  The target area is only two meters wide.  It's a small thermal exhaust port, right below the main port.  The shaft leads directly to the reactor system.  A precise hit will start a chain reaction which should destroy the station.",episode4
DODONNA,"Only a precise hit will set up a chain reaction.  The shaft is ray-shielded, so you'll have to use proton torpedoes.",episode4
WEDGE,"That's impossible, even for a computer.",episode4
LUKE,It's not impossible.  I used to bullseye womp rats in my T-sixteen back home.  They're not much bigger than two meters.,episode4
DODONNA,Man your ships!  And may the Force be with you!,episode4
DEATH STAR INTERCOM VOICE,Orbiting the planet at maximum velocity.  The moon with the Rebel base will be in range in thirty minutes.,episode4
VADER,This will be a day long remembered.  It has seen the end of Kenobi and it will soon see the end of the Rebellion.,episode4
MAN,"All flight troops, man your stations.  All flight troops, man your stations.",episode4
LUKE,So... you got your reward and you're just leaving then?,episode4
HAN,"That's right, yeah!  I got some old debts I've got to pay off with this stuff.  Even if I didn't, you don't think I'd be fool enough to stick around here, do you?  Why don't you come with us?  You're pretty good in a fight.  I could use you.",episode4
LUKE,"Come on!  Why don't you take a look around?  You know what's about to happen, what they're up against.  They could use a good pilot like you.  You're turning your back on them.",episode4
HAN,"What good's a reward if you ain't around to use it?  Besides, attacking that battle station ain'tmy idea of courage.  It's more like suicide.",episode4
LUKE,"All right.  Well, take care of yourself, Han... guess that's what you're best at, isn't it?",episode4
HAN,"Hey, Luke... may the Force be with you!",episode4
HAN,What're you lookin' at?  I know what I'm doing.,episode4
LEIA,What's wrong?,episode4
LUKE,"Oh, it's Han!  I don't know, I really thought he'd change his mind. ",episode4
LEIA,He's got to follow his own path.  No one can choose it for him.,episode4
LUKE,I only wish Ben were here.,episode4
BIGGS,Luke!  I don't believe it!  How'd you get here... are you going out with us?!,episode4
LUKE,"Biggs!  Of course, I'll be up there with you!  Listen, have I got some stories to tell...",episode4
RED LEADER,Are you... Luke Skywalker?  Have you been checked out on the Incom T-sixty-five?,episode4
BIGGS,"Sir, Luke is the best bushpilot in the outer rim territories.",episode4
RED LEADER,"I met your father once when I was just a boy.  He was a great pilot.  You'll do all right.  If you've got half of your father's skill, you'll do better than all right.",episode4
LUKE,"Thank you, sir.  I'll try.",episode4
BIGGS,"I've got to get aboard.  Listen, you'll tell me your stories when we come back.  All right?",episode4
LUKE,"I told you I'd make it someday, Biggs.",episode4
BIGGS,"You did, all right.  It's going to be like old times Luke. We're a couple of shooting stars that'll never be stopped!",episode4
CHIEF,This R2 unit of your seems a bit beat up.  Do you want a new one?,episode4
LUKE,"Not on your life!  That little droid and I have been through a lot together.You okay, Artoo?",episode4
CHIEF,"Okay, easy she goes!",episode4
THREEPIO,"Hang on tight, Artoo, you've got to come back.",episode4
THREEPIO,"You wouldn't want my life to get boring, would you?",episode4
BEN,"Luke, the Force will be with you.",episode4
MASSASSI INTERCOM VOICE,"Stand-by alert.  Death Star approaching.  Estimated time to firing range, fifteen minutes.",episode4
RED LEADER,All wings report in.,episode4
RED TEN,Red Ten standing by.,episode4
RED SEVEN,Red Seven standing by.,episode4
BIGGS,Red Three standing by.,episode4
PORKINS,Red Six standing by.,episode4
RED NINE,Red Nine standing by.,episode4
WEDGE,Red Two standing by.,episode4
RED ELEVEN,Red Eleven standing by.,episode4
LUKE,Red Five standing by.,episode4
RED LEADER,Lock S-foils in attack position.,episode4
RED LEADER,We're passing through their magnetic field.,episode4
RED LEADER,Hold tight!,episode4
RED LEADER,Switch your deflectors on.,episode4
RED LEADER,Double front!,episode4
WEDGE,Look at the size of that thing!,episode4
RED LEADER,"Cut the chatter, Red Two.",episode4
RED LEADER,"Accelerate to attack speed.  This is it, boys!",episode4
GOLD LEADER,"Red Leader, this is Gold Leader.",episode4
RED LEADER,"I copy, Gold Leader.",episode4
GOLD LEADER,We're starting for the target shaft now.,episode4
RED LEADER,We're in position.  I'm going to cut across the axis and try and draw their fire.,episode4
WEDGE,"Heavy fire, boss!  Twenty-threedegrees.",episode4
RED LEADER,I see it.  Stay low. ,episode4
LUKE,This is Red Five!  I'm going in!,episode4
BIGGS,"Luke, pull up!",episode4
BIGGS,Are you all right?,episode4
LUKE,"I got a little cooked, but I'm okay.",episode4
ASTRO-OFFICER,"We count thirty Rebel ships, Lord Vader.  But they're so small they're evading our turbo-lasers!",episode4
VADER,We'll have to destroy them ship to ship.  Get the crews to their fighters.,episode4
RED LEADER,"Luke, let me know when you're going in.",episode4
LUKE,I'm on my way in now...,episode4
RED LEADER,Watch yourself!  There's a lot of fire coming from the right side of that deflection tower.,episode4
LUKE,I'm on it.,episode4
CONTROL OFFICER,"Squad leaders, we've picked up a new group of signals.  Enemy fighters coming your way.",episode4
LUKE,My scope's negative.  I don't see anything.,episode4
RED LEADER,"Keep up your visual scanning.  With all this jamming, they'll be on top of you before your scope can pick them up.",episode4
RED LEADER,Biggs!  You've picked one up... watch it!,episode4
BIGGS,I can't see it!  Where is he?!,episode4
BIGGS,"He's on me tight, I can't shake him... I can't shake him.",episode4
LUKE,"Hang on, Biggs, I'm coming in.",episode4
LUKE,Got him!,episode4
VADER,Several fighters have broken off from the main group.  Come with me!,episode4
BIGGS,Pull in!  Luke... pull in!,episode4
WEDGE,"Watch your back, Luke!",episode4
WEDGE,"Watch your back!  Fighter's above you, coming in!",episode4
LUKE,"I'm hit, but not bad.",episode4
LUKE,"Artoo, see what you can do with it.  Hang on back there.",episode4
RED LEADER,Red Six...,episode4
RED LEADER,Can you see Red Five?,episode4
RED TEN,"There's a heavy fire zone on this side. Red Five, where are you?",episode4
LUKE,I can't shake him!,episode4
WEDGE,"I'm on him, Luke!",episode4
WEDGE,Hold on!,episode4
LUKE,Blast it!  Wedge where are you?,episode4
LUKE,"Thanks, Wedge.",episode4
BIGGS,"Good shooting, Wedge!",episode4
GOLD LEADER,Red Leader...,episode4
GOLD LEADER,... This is Gold Leader.  We're starting out attack run.,episode4
RED LEADER,"I copy, Gold Leader.  Move into position.",episode4
VADER,Stay in attack formation!,episode4
GOLD LEADER,The exhaust post is...,episode4
GOLD LEADER,... marked and locked in!,episode4
GOLD LEADER,Switch power to front deflection screens.,episode4
GOLD LEADER,"How many guns do you think, Gold Five?",episode4
GOLD FIVE,"I'd say about twenty guns.  Some on the surface, some on the towers.",episode4
MASSASSI INTERCOM VOICE,Death Star will be in range in five minutes. ,episode4
GOLD LEADER,Switch to targeting computer.,episode4
GOLD TWO,Computer's locked.  Getting a signal.,episode4
GOLD TWO,The guns... they've stopped!,episode4
GOLD FIVE,Stabilize your rear deflectors.  Watch for enemy fighters.,episode4
GOLD LEADER,They've coming in!  Three marks at two ten.,episode4
VADER,I'll take them myself!  Cover me!,episode4
WINGMAN,"Yes, sir.",episode4
GOLD LEADER,I can't maneuver!,episode4
GOLD FIVE,Stay on target.,episode4
GOLD LEADER,We're too close.,episode4
GOLD FIVE,Stay on target!,episode4
GOLD LEADER,Loosen up!,episode4
GOLD FIVE,Gold Five to Red Leader...,episode4
GOLD FIVE,"Lost Tiree, lost Dutch.",episode4
RED LEADER,"I copy, Gold Five.",episode4
GOLD FIVE,They came from behind....,episode4
OFFICER,"We've analyzed their attack, sir, and there is a danger.  Should I have your ship standing by?",episode4
TARKIN,Evacuate?  In out moment of triumph?  I think you overestimate their chances!,episode4
VOICE,"Rebel base, three minutes and closing.",episode4
RED LEADER,"Red Group, this is Red Leader.",episode4
RED LEADER,Rendezvous at mark six point one.,episode4
WEDGE,This is Red Two.  Flying towards you.,episode4
BIGGS,"Red Three, standing by.",episode4
DODONNA,"Red Leader, this is Base One.  Keep half your group out of range for the next run.",episode4
RED LEADER,"Copy, Base One.  Luke, take Red Two and Three.  Hold up here and wait for my signal... to start your run.",episode4
RED LEADER,This is it!,episode4
RED TEN,We should be able to see it by now.,episode4
RED LEADER,Keep your eyes open for those fighters!,episode4
RED TEN,There's too much interference!,episode4
RED TEN,"Red Five, can you see them from where you are?",episode4
LUKE,No sign of any... wait!,episode4
LUKE,Coming in point three five.,episode4
RED TEN,I see them.,episode4
RED LEADER,I'm in range.,episode4
RED LEADER,Target's coming up!,episode4
RED LEADER,Just hold them off for a few seconds.,episode4
VADER,Close up formation.,episode4
RED LEADER,Almost there!,episode4
RED TEN,You'd better let her loose.,episode4
RED LEADER,Almost there!,episode4
RED TEN,I can't hold them!,episode4
RED LEADER,It's away!,episode4
RED NINE,It's a hit!,episode4
RED LEADER,Negative.,episode4
RED LEADER,"Negative!  It didn't go in, it just impacted on the surface.",episode4
LUKE,"Red Leader, we're right above you.  Turn to point...",episode4
LUKE,... oh-five; we'll cover for you.,episode4
RED LEADER,Stay there...,episode4
RED LEADER,... I just lost my starboard engine.,episode4
RED LEADER,Get set up for your attack run.,episode4
DEATH STAR INTERCOM VOICE,"Rebel base, one minute and closing.",episode4
LUKE,"Biggs, Wedge, let's close it up.  We're going in.  We're going in full throttle.",episode4
WEDGE,"Right with you, boss.",episode4
BIGGS,"Luke, at that speed will you be able to pull out in time?",episode4
LUKE,It'll be just like Beggar's Canyon back home.,episode4
BIGGS,We'll stay back far enough to cover you.,episode4
WEDGE,"My scope shows the tower, but I can't see the exhaust port!  Are you sure the computer can hit it?",episode4
LUKE,Watch yourself!  Increase speed full throttle!,episode4
WEDGE,What about that tower?,episode4
LUKE,You worry about those fighters!  I'll worry about the tower!,episode4
LUKE,"Artoo... that, that stabilizer's broken loose again!  See if you can't lock it down!",episode4
WEDGE,I'm hit!  I can't stay with you.,episode4
LUKE,"Get clear, Wedge.",episode4
LUKE,You can't do any more good back there!,episode4
WEDGE,Sorry!,episode4
VADER,Let him go!  Stay on the leader!,episode4
BIGGS,"Hurry, Luke, they're coming in much faster this time. I can't hold them!",episode4
LUKE,"Artoo, try and increase the power!",episode4
BIGGS,"Hurry up, Luke!",episode4
BIGGS,Wait!,episode4
DEATH STAR INTERCOM VOICE,"Rebel base, thirty seconds and closing.",episode4
VADER,I'm on the leader.,episode4
THREEPIO,"Hang on, Artoo!",episode4
BEN,"Use the Force, Luke.",episode4
BEN,"Let go, Luke.",episode4
VADER,The Force is strong with this one!,episode4
BEN,"Luke, trust me.",episode4
BASE VOICE,"His computer's off.  Luke, you switched off your targeting computer.  What's wrong?",episode4
LUKE,Nothing.  I'm all right.,episode4
LUKE,I've lost Artoo!,episode4
MASSASSI INTERCOM VOICE,The Death Star has cleared the planet.  The Death Star has cleared the planet.,episode4
DEATH STAR INTERCOM VOICE,"Rebel base, in range.",episode4
TARKIN,You may fire when ready.,episode4
DEATH STAR INTERCOM VOICE,Commence primary ignition.,episode4
VADER,I have you now.,episode4
VADER,What?,episode4
HAN,Yahoo!,episode4
WINGMAN,Look out!,episode4
HAN,"You're all clear, kid.",episode4
